id,http_code,elapsed_time
11,400,.067946853
43,400,.036974317
44,400,.035963697
34,400,.045942053
21,400,.064519366
12,400,.068140297
4,400,.073445436
28,400,.053441946
2,400,.076225624
19,400,.067103494
20,400,.065586155
10,400,.068952086
23,400,.060761126
50,400,.024065705
31,400,.049903284
36,400,.041244050
15,400,.068522080
7,400,.071071960
5,400,.073244407
35,400,.044119078
26,400,.056407604
45,400,.035854072
29,400,.054744267
3,400,.076298769
18,400,.066588507
42,400,.034217973
13,400,.069316265
37,400,.040753817
47,400,.029945401
39,400,.040129003
27,400,.056782824
55,400,.010366746
53,400,.010851387
51,400,.012004818
58,400,.010159647
52,400,.011556632
75,400,.005651409
63,400,.009536325
66,400,.008009359
59,400,.010820534
69,400,.008139722
68,400,.008397340
61,400,.010679827
74,400,.007054024
76,400,.006721355
60,400,.011934350
77,400,.007154167
71,400,.009501809
67,400,.010905819
79,400,.008253193
85,400,.005324831
83,400,.006290834
84,400,.006213331
87,400,.005519391
82,400,.007312375
91,400,.005051870
90,400,.006530364
93,400,.005990464
95,400,.005025352
92,400,.006643373
98,400,.005301868
100,400,.007994819
99,400,.007726185
101,400,.006418762
103,400,.007522713
107,400,.005888366
106,400,.007752915
108,400,.006547156
109,400,.006465883
111,400,.009521939
114,400,.009132334
115,400,.008086168
117,400,.006487694
119,400,.006229155
116,400,.014511545
124,400,.010779789
123,400,.014455529
125,400,.005552012
122,400,.016207155
127,400,.034665906
130,400,.011945641
131,400,.005163826
132,400,.004809686
133,400,.006070145
120,200,.229558678
33,200,.326781003
81,200,.265620135
6,200,.350870565
40,200,.318244388
57,200,.271835159
129,200,.205234002
14,200,.346310737
126,200,.208543772
1,200,.357711528
73,200,.267667654
96,200,.252993917
113,200,.241027075
56,200,.273029451
86,200,.258556088
128,200,.205996754
64,200,.270837094
97,200,.254264895
17,200,.346797032
65,200,.271331105
8,200,.350748256
104,200,.248121574
72,200,.270701121
22,200,.342646729
70,200,.271775762
80,200,.267842155
88,200,.257719208
89,200,.259489619
38,200,.324056786
25,200,.340600019
41,200,.317862557
32,200,.333967703
49,200,.305985696
16,200,.349602799
94,200,.258632268
118,200,.239528952
48,200,.310576512
9,200,.353974627
110,200,.250977286
102,200,.253801338
112,200,.244699457
24,200,.344133547
121,200,.232153428
105,200,.254750049
30,200,.334443843
54,200,.280186124
78,200,.274124401
134,200,.132067312
46,200,.317527248
62,200,.279503063
135,400,.008626871
138,400,.006371605
139,400,.007650243
140,400,.007795009
141,400,.007597547
149,400,.006327929
147,400,.007448856
143,400,.009317383
154,400,.008846409
146,400,.012298996
148,400,.012597448
157,400,.009290504
155,400,.007960730
151,400,.012571844
159,400,.010098290
156,400,.012503041
165,400,.018200977
164,400,.017975798
170,400,.016428832
178,400,.012293201
175,400,.014860649
172,400,.015354361
173,400,.015940119
163,400,.020519002
162,400,.020014921
180,400,.012528542
167,400,.018850801
181,400,.015771022
179,400,.016655395
136,200,.038196473
171,400,.023337198
137,200,.041891573
142,200,.038942318
144,200,.039295369
202,400,.007534107
191,400,.021121878
207,400,.008123814
203,400,.008269104
210,400,.007159188
204,400,.007967152
205,400,.008810168
211,400,.009092592
213,400,.007839304
150,200,.042120154
215,400,.007450095
152,200,.043153402
