id,http_code,elapsed_time
1,200,.060917587
5,200,.056422469
7,200,.055391892
2,200,.061177594
4,200,.057838893
8,200,.056004741
9,200,.055148432
3,200,.062158969
12,200,.053700634
15,200,.053779184
6,200,.060131096
16,200,.054633471
13,200,.056550297
14,200,.057192833
11,200,.058159882
22,200,.047578177
10,200,.062795034
18,200,.055511553
23,200,.057567977
19,200,.063764298
17,200,.067563583
25,200,.057318399
24,200,.061743286
21,200,.067573627
29,200,.056338514
27,200,.060516878
20,200,.071162960
32,200,.055100186
28,200,.064793599
26,200,.062882973
31,200,.058705466
30,200,.063831241
36,200,.050629086
33,200,.072236584
41,200,.064918413
38,200,.067868977
35,200,.073821335
34,200,.072634690
43,200,.064588406
37,200,.070711383
45,200,.065331869
47,200,.062859982
39,200,.069344648
48,200,.062105009
40,200,.071497293
46,200,.063502178
44,200,.067940088
53,200,.059166878
51,200,.060495833
57,200,.055566355
52,200,.059433012
60,200,.054784948
49,200,.068007544
54,200,.059409103
50,200,.068337516
61,200,.054832168
62,200,.052685559
67,200,.051631184
55,200,.059614156
58,200,.056731799
59,200,.056840488
42,200,.076022250
64,200,.051865504
56,200,.058966029
66,200,.052476859
65,200,.053411937
63,200,.054272903
68,200,.052986478
76,200,.040820167
74,200,.043178384
73,200,.045967954
70,200,.050993464
71,200,.048120615
72,200,.047544830
75,200,.042479784
78,200,.039085101
77,200,.040207385
79,200,.038616751
69,200,.054346938
82,200,.038049645
81,200,.037904647
80,200,.038898198
83,200,.036999964
84,200,.031392954
89,200,.029961533
90,200,.029756600
85,200,.032512302
86,200,.031718824
88,200,.032792203
87,200,.036034811
93,200,.034462442
96,200,.034369291
92,200,.035668491
94,200,.036665584
95,200,.037453571
98,200,.033772024
91,200,.038144251
99,200,.035287499
100,200,.034658015
97,200,.035884465
101,200,.035604486
108,200,.033731931
103,200,.035199656
106,200,.034624834
102,200,.036082401
105,200,.035056657
109,200,.033597943
104,200,.035837080
111,200,.036309570
115,200,.035019615
110,200,.036891295
112,200,.035846048
107,200,.038498969
114,200,.035295229
118,200,.035324565
117,200,.036204577
122,200,.030818536
116,200,.036090030
123,200,.031678776
113,200,.038849352
127,200,.030854478
126,200,.031065843
120,200,.033449141
119,200,.033736569
124,200,.032243260
121,200,.032942598
129,200,.032332576
133,200,.031723883
130,200,.031422774
125,200,.034081485
128,200,.033685382
132,200,.032556773
131,200,.033485376
134,200,.033161339
135,200,.032822586
136,200,.033921903
137,200,.036709901
138,200,.036478973
139,200,.040252857
140,200,.040202008
141,200,.044982693
142,200,.043628142
144,200,.043537453
143,200,.044702736
147,200,.042958442
145,200,.043674407
149,200,.041655603
146,200,.043516032
150,200,.042705744
148,200,.043288444
153,200,.042505177
151,200,.043857556
155,200,.042796302
158,200,.042189916
157,200,.042418852
160,200,.041243591
163,200,.040341082
162,200,.041658872
156,200,.045233830
161,200,.041805466
154,200,.046633602
175,200,.036846308
159,200,.043031572
152,200,.046830084
170,200,.039152292
167,200,.040824963
172,200,.038977269
165,200,.042349390
171,200,.039216931
166,200,.041625779
169,200,.039335086
174,200,.039712514
173,200,.040250857
164,200,.043820268
176,200,.039999641
179,200,.041133854
180,200,.040118996
177,200,.041095273
182,200,.039879272
168,200,.044869904
178,200,.042279357
188,200,.027121698
183,200,.041527915
181,200,.041813707
185,200,.033100329
190,200,.020284585
189,200,.020977561
186,200,.031705063
184,200,.035942536
187,200,.030636512
191,200,.048545314
196,200,.045902662
203,200,.044920706
198,200,.048602084
201,200,.047048579
192,200,.055381517
194,200,.054010298
200,200,.051260784
199,200,.052008862
195,200,.055668676
197,200,.054699367
193,200,.058085362
202,200,.054127707
204,200,.054478116
223,200,.048011177
205,200,.057577622
230,200,.046123863
219,200,.050767920
234,200,.045913885
221,200,.050568158
232,200,.046746616
235,200,.046151495
227,200,.047351287
207,200,.057159947
229,200,.048065870
222,200,.049809860
225,200,.049272639
206,200,.058003470
216,200,.055014585
217,200,.056344671
212,200,.058421020
208,200,.060761523
226,200,.053179597
218,200,.058900219
211,200,.062303124
228,200,.054319607
214,200,.060495040
220,200,.057812233
215,200,.059038902
210,200,.061664410
233,200,.054202166
213,200,.061883410
236,200,.053784439
209,200,.064727802
231,200,.056765323
224,200,.059853407
239,200,.055479491
238,200,.055747649
240,200,.057240778
237,200,.063791338
241,200,.038060556
242,200,.042027084
243,200,.040847375
244,200,.040063543
245,200,.040764875
248,200,.039068877
247,200,.043177188
246,200,.044808972
249,200,.043216421
254,200,.040859703
